Text,Support
RT @kasserolees: Energy is the #1 contributer to climate change by far. Also ALL agriculture (not just animal ag) contributes to climate ch,1
RT @edelman_barbara: @msnbc why don t you have a climate change scientist on the air?,1
RT @OtagoGrad: @anthonyfurey @OskieOckham The data doesn t matter. We re not basing our recommendations on the data. We re basing them on,0
The Dow just recorded its 3rd worst day ever. Think @realDonaldTrump is gonna tweet about it? Or will he continue to selectively highlight (& take credit for) things that he had nothing to do with and ignore really important issues like climate change? Asking for America.,0
RT @SimonBanksHB: I am not going to rule out things based on ideology said @ScottMorrisonMP yesterday Yet he leads a party that has con,0
RT @sydneyleemarco: nothing like an 80 degree october day to make you relieved that climate change is just a hoax invented by the chinese g,1
@MerlenesMemos @CNN It's not an act of god. Climate change is man made.,1
RT @MikeLevinCA: When asked about climate change my GOP opponent @diane_harkey repeatedly says I am not a scientist. Someone running f,0
RT @gq_jayq: Bet I got 11 years to run it up https://t.co/EvF2pHphsb,0
No they care about the oil billionaires,0
RT @cathmckenna: The best that science has to offer is telling us that we should act with urgency on climate change. The best that economi,0
RT @tumblindice1979: @elizabethforma @algore I love you Senator Warren but the hell with climate change let's focus on helping everybody im,0
Global Warming and climate control is fake. GLOBAL WARMING IS THE BIGGEST FRAUD IN HISTORY. https://t.co/6wuhsWQw7s #climatechange #ClimateChangeIsReal #HurricaneMichael #hurricanemichael2018,0
RT @HazelMonforton: Literally none of these things will help anyone anywhere. The problem is industry. Not individual action. Stop shifting,0
RT @pimpnsincebirth: How about you end corporate greed? How about you heavily tax oil producing companies? Stop acting like consumers aren,0
@BjornLomborg I think looking at climate change in terms of expected global GDP is too narrow: it downplays risk and ignores distribution and other species. But it's hard to argue with the basic point that we need to pour investment into new technologies,1
RT @KateRaworth: If you feel the dissonance between the IPCC 1.5 degree report and the latest Nobel Prize in Economics I recommend this by,1
RT @4everlung: Each year about 13 million hectares of forests are burned or logged around the world. Just by keeping them alive these f,0
@tracyajonas @David_Leavitt @realDonaldTrump it should try knowing what they re talking about or folks like @JunkScience who have a vested interest in denying climate change are going to tear folks to shreds.,0
I cannot find one attribute that qualifies this man for this job in this century. Idiotic pronouncements about the economy education religious freedoms climate change drought Indigenous affairs policy developed at Hillsong and 2GB. Stop it Scott you will go blind!,1
@Weinsteinlaw His base doesn t care. unaffiliated who suck at spelling don t really care either. While amusing to some pointing out spelling issues just makes us look more snobby & elitest. What about kids incarcerated at the border? Climate change im,1
Climate change takes a chronic psychological toll https://t.co/XmQUdbs0I7 via @AnthropoceneMag,0
RT @idea2go: The definition of #ClimateBreakdown from @GeorgeMonbiot. Please retweet this hashtag to get us all speaking the same language,1
sexy I don't die of natural causes at least a decade before climate change-driven resource scarcity and the rise of fascist autocracies finally collapses society into a horror-strewn wilderness of death oppression and impoverishment,1
RT @smilon713: I wish NO harm to those in red states. I wish they can learn from these disasters. #ClimateChange,1
@LynchpinL With climate change making the world essentially uninhabitable in 20 years or so what s the point in investing in stocks? https://t.co/F89uugsasg,1
RT @cottoncandaddy: oh so we re like dead dead https://t.co/SEymqmHC3f,0
Trump on climate change report: 'I want to look at who drew it' https://t.co/bqtWZcxJ48,1
RT @yeson1631: .@VanJones68 all the life we know is deeply in peril. Just 10 years ago the one thing presidential candidates never debated,1
RT @VABVOX: Harrowing. And while I'm sure some will say not now as with gun violence when IS a good time to talk about the impact of #C,0
RT @JWSpry: WHEN you look at the most common #climate and weather metrics that underpin the great #GlobalWarming swindle you quickly reali,0
RT @Raffi_RC: At present rates of carbon emission we will change the Earth from a single-glazed planet to a double-glazed one in thirty ye,1
RT @ret_ward: BBC condemned for inviting climate change denier to debate global warming report https://t.co/K2l99P5D11,1
RT @Delafina777: Oh boy I had a Christian ex-friend get very upset with me for saying Jesus isn't coming back to save the planet who was,0
Fuck ok I m trying,0
Why We Can t Reverse Climate Change With 0 Emissions Technologies https://t.co/Qc3nVeOysE #climatechange,0
@Allen_Clifton Dude that is SOO stupid!!! Hurricanes have as much 2 do with climate change as crooked hilldog has to do with honesty. #Got it? #WalkAway #MAGA #VoteRedToSaveAmerica,0
I'm tired,0
RT @amandatnt03: This article lists the companies responsible for the hell that we and our children will be put through in the future https,1
RT @KameronHurley: No. Vote in a government that will regulate the 100 companies fueling climate change. Stop putting this on recycle your,1
RT @EthnoSk8: Everybody that signs up to the Paris Climate agreement is obligated to take 'climate refugees' It's a fucking scam. We alre,1
Huge consequences here,0
RT @CIimateBarbie: The planet is 9 years 11 months 2 weeks 4 days 7 hours @222Minutes and 37 seconds away from EXPLODING IN A BALL OF,0
Climate catastrophe warnings were greeted with global silence - https://t.co/sYn6p8n2DE via @FT Once again @FT best summasired the issue #climatechange #globalsilence,1
@kiwanja The climate is always changing. No one denies that. But most do deny that man causes the climate to change. If it is man's fault then the earth would have been just a lush garden paradise with no changes prior to the industrial revolution and tha,0
As Storms Keep Coming FEMA Spends Billions in Cycle of Damage and Repair FEMA has paid out billions for disaster recovery efforts. But many projects seem to be undertaken in defiance of climate change leaving structures nearly as vulnerable as before. https://t.co/mahdcJBsL0,0
Top CO2 emitters,1
RT @lindsayballant: 100 companies are responsible for 71% of global emissions 100 companies are responsible for 71% of global emissions,0
RT @UNEnvironment: Limiting global warming to 1.5 C will require rapid far-reaching & unprecedented changes in all aspects of society inc,1
RT @extinctsymbol: There s No Time for Gradualism. Join the Extinction Rebellion starting at the end of this month > @ExtinctionR https://t,0
Yall people be tryna die everyday but when Earths is tryna do that yall wanna stop it,1
RT @ProudResister: Democrats are right on climate change healthcare women s rights racial justice LGBTQ equality gun reform and tax cu,1
RT @DavidLe23536070: I cannot find one attribute that qualifies this man for this job in this century. Idiotic pronouncements about the eco,0
RT @aubreybell: because my brain is broken in a very specific way I just can't believe nyt was lucky enough to land a pic of a kid playing,0
The world has just over a decade to get climate change under control U.N. scientists say ?tid=ss_tw-amp #burning #climate #help,1
RT @GoodBoyMachine: I love science and facts https://t.co/MXbIzgSqnl,0
RT @albertarabbit: The only thing humans can do is decide how many lives homes and species they re willing to lose due to climate change,1
Take you Pick uh #Hilary #Obama #climatechange #taylorswift #Democrats #theboogieman #santaclause #allwomen #kneelingNFLplayers #Nike #TheMidterms #Nike #PuertoRico #MeYouandDogs #Mueller #Batman #VenomMovie,0
RT @ChrisJZullo: @EricTrump @HawleyMO Return to tax fairness Fight for the middle class Provide affordable healthcare Pass immigration ref,0
RT @SenatorTomUdall: #NM has seen the devastating effects of climate change firsthand. We know it's the greatest threat facing the world to,1
@realDonaldTrump @WhiteHouse Go repeat what you say over n over n over. All about nothing just talk shit about people. You want people to vote Republican you don't have anything to add health insurance deficit climate change why are we paying for the wall,1
RT @MikeDrucker: PEOPLE: We need the media to cover climate change so we can save our planet! MEDIA: You got it! We ll have a debate be,0
RT @BrighterGreenNY: Consumers have been taught not to reflect too much on how food is produced and therefore underestimate #animal sufferi,0
Michael Gove skips climate change summit day after UN report calls for urgent on #climatebreakdown https://t.co/vwJQTvSVlO,0
RT @AndersWijkman: Very good suggestion. Climate breakdown instead of Climate change - because that is what it is. https://t.co/Z4WtsYQ,1
Amazing!,0
@blaubok @michaelchiav @MartiniShark @SteveSGoddard @bjjuhl58 @miked194765 @Ike_Kiefer you realize this is only one set of data and doesnt measure the total of climate change info yeah?,0
RT @ladyastronauty: I say this as an electric car driving Sierra Club donating metal straw in my upcycled canvas tote bag childless veget,1
RT @ervia: Mike Quinn highlighting potential of Carbon Capture Storage at @UtilityWeek #uwcongress. Ervia has been assessing solutions to d,1
RT @PaulHBeckwith: My take on @IPCC_CH Report: -abrupt #ClimateChange will soon blow away 1.5C and 2C -baseline shifted from 1750 to 1850-1,0
The fact that it s predicted that the world will have a catastrophic climate change in the next 12 years and people are still choosing to say it s not real or the next generation can deal with it is just sad if we don t get our shit together there won t be a next generation,1
RT @jasonhickel: The easy equivalence between growth and progress may have seemed reasonable back in the 1950s. But as our civilisation bu,0
RT @SteveMcIvorCEO: New @UN report says humanity must reduce meat consumption to stop global temperatures rising dangerously. Eat less meat,1
RT @taraxandra: They hoaxed school shootings for gun control. Now they are hoaxing hurricanes levels using alarmist type verbiage (ie cata,0
@Overlapping @WhiteHouse @realDonaldTrump @SecNielsen @FEMA_Brock @fema Yeah before climate change there were no hurricanes. Right?,0
We re only projected to displace 450M+ people in the next 50 years due to global warming sea level rise. But sure communism is really what climate change activists really want. Communism. You gotta be outta your damn mind if you believe this.,1
RT @NYCDSA_Climate: Governor Cuomo didn t list climate change as one of his 2019 priorities Call @NYGovCuomo at 877-235-6357 and tell him,1
RT @herb_beauty: One of the leading causes of climate change ocean deadzones deforestation species extinction (I could go on) are all c,1
